SID,Major,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Year
201,H,Potions 2,Muggle Studies 2,Transfiguration 4,Charms 7,Defense Against the Dark Arts 4,Runes 2,Herbology 4,Divination 4,Care of Magical Creatures 3,2
202,R,Potions 5,Muggle Studies 3,Transfiguration 7,Charms 1,Defense Against the Dark Arts 3,Runes 3,Herbology 5,Divination 4,Care of Magical Creatures 2,3
203,S,Potions 4,,Transfiguration 4,Charms 5,Defense Against the Dark Arts 1,,Herbology 5,,,1
204,R,Potions 2,Muggle Studies 3,Transfiguration 6,Charms 4,Defense Against the Dark Arts 6,Runes 3,Herbology 5,Divination 1 ,Care of Magical Creatures 1,2
205,H,Potions 3,,Transfiguration 2,Charms 1,,,Herbology 3,,,2
206,S,Potions 5,,Transfiguration 7,Charms 5,Defense Against the Dark Arts 2,,Herbology 2,,,6
207,H,Potions 2,Muggle Studies 1 ,Transfiguration 1,Charms 2,Defense Against the Dark Arts 1,Runes 1,Herbology 5,Divination 2,Care of Magical Creatures 3,2
208,H,Potions 6,Muggle Studies 2,Transfiguration 6,Charms 2,Defense Against the Dark Arts 1,Runes 1,Herbology 7,Divination 2,Care of Magical Creatures 1,3
209,H,Potions 3,Muggle Studies 2,Transfiguration 6,Charms 1,Defense Against the Dark Arts 5,Runes 3,Herbology 3,Divination 1 ,Care of Magical Creatures 2,5
210,S,Potions 6,Muggle Studies 1 ,Transfiguration 1,Charms 4,Defense Against the Dark Arts 7,Runes 3,Herbology 4,Divination 3,Care of Magical Creatures 5,1
211,G,Potions 5,,Transfiguration 4,Charms 6,,,Herbology 7,,,4
212,R,Potions 3,,Transfiguration 3,Charms 1,Defense Against the Dark Arts 3,,Herbology 7,Divination 2,Care of Magical Creatures 3,4
213,R,Potions 5,,Transfiguration 2,Charms 5,Defense Against the Dark Arts 4,,Herbology 6,,,1
